"RefLen","Cycle","PIC","Under","At","Over"
0,0,0,0,0.99870155108721,0.00129844891279041
0,0,1,0,0.999262660042675,0.000737339957324834
0,0,2,0,0.999777410764521,0.000222589235478798
0,0,3,0,0.999327913484563,0.000672086515436709
0,0,4,0,0.999243785637391,0.000756214362608865
0,0,5,0,0.998904663226869,0.00109533677313134
0,0,6,0,0.999574479766458,0.000425520233541699
0,0,7,0,0.999304775144679,0.000695224855321253
0,0,8,0,0.999118397900926,0.000881602099073509
0,0,9,0,0.999785202462376,0.000214797537624323
0,0,10,0,0.999992607541786,7.39245821412994e-06
0,0,11,0,0.999988881064453,1.11189355472369e-05
0,0,12,0,0.99998857916211,1.14208378897718e-05
0,0,13,0,0.999962767518956,3.72324810436551e-05
0,0,14,0,0.999943276522589,5.6723477410966e-05
0,0,15,0,0.999818637086961,0.000181362913039408
0,0,16,0,0.999834028467191,0.000165971532808576
0,0,17,0,0.999896326876716,0.000103673123284365
0,0,18,0,0.999551366098507,0.000448633901492577
0,0,19,0,0.999181722143637,0.000818277856362692
0,0,20,0,0.999322889294368,0.000677110705632026
0,0,21,0,0.999472371352023,0.000527628647977252
0,0,22,0,0.996101660701224,0.00389833929877645
0,0,23,0,0.998474147812819,0.00152585218718132
0,0,24,0,0.998329402515723,0.00167059748427673
0,0,25,0,0.999381473906446,0.000618526093554133
0,0,26,0,0.999836915497377,0.000163084502623331
0,0,27,0,0.999325873285784,0.000674126714215647
0,0,28,0,0.998440640530094,0.00155935946990613
0,0,29,0,0.999302324272926,0.000697675727073757
0,0,30,0,0.998830248400193,0.00116975159980734
0,0,31,0,0.999709648746235,0.000290351253765215
0,1,0,0,0.996968291231474,0.00303170876852646
0,1,1,0,0.998637511118423,0.00136248888157658
0,1,2,0,0.999462435475734,0.000537564524266412
0,1,3,0,0.998597711802693,0.00140228819730737
0,1,4,0,0.998454290169891,0.00154570983010944
0,1,5,0,0.997847554168933,0.00215244583106735
0,1,6,0,0.99903729348068,0.00096270651931983
0,1,7,0,0.998894176754989,0.00110582324501054
0,1,8,0,0.997960906250997,0.00203909374900293
0,1,9,0,0.999574405053731,0.000425594946268638
0,1,10,0,0.999776771733841,0.000223228266158755
0,1,11,0,0.999761369818135,0.000238630181864511
0,1,12,0,0.995792382718893,0.00420761728110742
0,1,13,0,0.99942067843754,0.000579321562459963
0,1,14,0,0.999335567367691,0.000664432632308759
0,1,15,0,0.99951422198572,0.00048577801428039
0,1,16,0,0.996845343893895,0.00315465610610455
0,1,17,0,0.999668637794519,0.000331362205481385
0,1,18,0,0.999336703324661,0.000663296675338993
0,1,19,0,0.997515687788269,0.0024843122117307
0,1,20,0,0.998472298753058,0.00152770124694241
0,1,21,0,0.999299991106444,0.000700008893555615
0,1,22,0,0.99630463605185,0.00369536394814985
0,1,23,0,0.9977423109913,0.00225768900869991
0,1,24,0,0.99788101463463,0.00211898536537008
0,1,25,0,0.999276467092173,0.000723532907827076
0,1,26,0,0.999877009631092,0.000122990368908035
0,1,27,0,0.999304929283153,0.000695070716846667
0,1,28,0,0.998613044367613,0.00138695563238691
0,1,29,0,0.999239033553445,0.000760966446555046
0,1,30,0,0.99865690855828,0.00134309144171997
0,1,31,0,0.99970677370944,0.000293226290559935
0,2,0,0,0.99633677154389,0.00366322845610971
0,2,1,0,0.998154230128603,0.00184576987139657
0,2,2,0,0.99951477477276,0.000485225227239695
0,2,3,0,0.998057555737015,0.00194244426298468
0,2,4,0,0.997922594546811,0.00207740545318931
0,2,5,0,0.99720729142323,0.00279270857677027
0,2,6,0,0.99904134473189,0.000958655268110278
0,2,7,0,0.997640488800049,0.00235951119995054
0,2,8,0,0.997293205622121,0.0027067943778791
0,2,9,0,0.99941707147814,0.00058292852185982
0,2,10,0,0.999763228969017,0.000236771030982714
0,2,11,0,0.999623348268333,0.000376651731666684
0,2,12,0,0.990971270533228,0.00902872946677167
0,2,13,0,0.999103015379037,0.000896984620962625
0,2,14,0,0.998899546799966,0.00110045320003439
0,2,15,0,0.999129122264811,0.000870877735188939
0,2,16,0,0.994036304388695,0.00596369561130491
0,2,17,0,0.999310757170617,0.000689242829383335
0,2,18,0,0.998072652357758,0.00192734764224227
0,2,19,0,0.995399065111415,0.0046009348885852
0,2,20,0,0.997209113363578,0.00279088663642225
0,2,21,0,0.998187001973828,0.0018129980261715
0,2,22,0,0.994287160574177,0.00571283942582348
0,2,23,0,0.995142153780706,0.00485784621929438
0,2,24,0,0.996359440212977,0.00364055978702255
0,2,25,0,0.998513464329722,0.0014865356702785
0,2,26,0,0.99975840347899,0.000241596521010097
0,2,27,0,0.998613183258885,0.00138681674111487
0,2,28,0,0.996074493796388,0.00392550620361167
0,2,29,0,0.998672249826984,0.00132775017301576
0,2,30,0,0.996957952430143,0.00304204756985706
0,2,31,0,0.999413091213401,0.000586908786598484
0,3,0,0,0.993063243266357,0.0069367567336428
0,3,1,0,0.996361220014619,0.00363877998538109
0,3,2,0,0.998916261305985,0.00108373869401535
0,3,3,0,0.996814080636934,0.00318591936306649
0,3,4,0,0.995708804523425,0.00429119547657512
0,3,5,0,0.993378130944127,0.00662186905587258
0,3,6,0,0.997453750958637,0.00254624904136344
0,3,7,0,0.996420466754364,0.00357953324563564
0,3,8,0,0.99499615547383,0.0050038445261696
0,3,9,0,0.998700332593756,0.00129966740624446
0,3,10,0,0.999542172219275,0.000457827780725285
0,3,11,0,0.999226826805014,0.000773173194986318
0,3,12,0,0.981876446950916,0.0181235530490844
0,3,13,0,0.998408744056726,0.00159125594327393
0,3,14,0,0.997633789584676,0.00236621041532365
0,3,15,0,0.998593177100603,0.00140682289939683
0,3,16,0,0.990460225379819,0.00953977462018054
0,3,17,0,0.998967461363918,0.00103253863608165
0,3,18,0,0.997317476920564,0.00268252307943598
0,3,19,0,0.99161382904017,0.00838617095982983
0,3,20,0,0.995334801841007,0.00466519815899282
0,3,21,0,0.996153207833468,0.00384679216653232
0,3,22,0,0.99279267543251,0.00720732456748973
0,3,23,0,0.991424493908466,0.00857550609153352
0,3,24,0,0.993258498324945,0.00674150167505517
0,3,25,0,0.997796462742824,0.00220353725717599
0,3,26,0,0.999663739412665,0.000336260587335159
0,3,27,0,0.997177391818989,0.00282260818101113
0,3,28,0,0.99336044827284,0.00663955172715979
0,3,29,0,0.998075186540564,0.00192481345943634
0,3,30,0,0.994478543838298,0.00552145616170168
0,3,31,0,0.999073357328105,0.000926642671895041
0,4,0,0,0.988824287834189,0.0111757121658112
0,4,1,0,0.992641901315233,0.00735809868476715
0,4,2,0,0.997887007064958,0.00211299293504228
0,4,3,0,0.993368683154649,0.00663131684535098
0,4,4,0,0.992259472189513,0.00774052781048694
0,4,5,0,0.98930568406427,0.0106943159357296
0,4,6,0,0.996268271118715,0.00373172888128509
0,4,7,0,0.993882150613017,0.00611784938698273
0,4,8,0,0.992307931958378,0.00769206804162253
0,4,9,0,0.998239504345799,0.00176049565420064
0,4,10,0,0.999374397205641,0.000625602794359148
0,4,11,0,0.998725844597206,0.00127415540279431
0,4,12,0,0.971000096574369,0.0289999034256308
0,4,13,0,0.998253112804312,0.00174688719568853
0,4,14,0,0.996424905503814,0.00357509449618648
0,4,15,0,0.997907540757196,0.00209245924280431
0,4,16,0,0.980707050858358,0.0192929491416424
0,4,17,0,0.99836610500061,0.00163389499939051
0,4,18,0,0.994004607999087,0.00599539200091304
0,4,19,0,0.98561227542553,0.0143877245744698
0,4,20,0,0.991644341720509,0.00835565827949082
0,4,21,0,0.994063267680903,0.00593673231909667
0,4,22,0,0.9893015356061,0.0106984643938996
0,4,23,0,0.985705486629391,0.0142945133706095
0,4,24,0,0.989070676018876,0.0109293239811243
0,4,25,0,0.996852888183565,0.00314711181643538
0,4,26,0,0.999514219029807,0.000485780970192921
0,4,27,0,0.996252597666097,0.00374740233390308
0,4,28,0,0.983900254206513,0.0160997457934875
0,4,29,0,0.997482511710448,0.00251748828955242
0,4,30,0,0.99241597357875,0.00758402642124977
0,4,31,0,0.99877924600834,0.00122075399166014
0,5,0,0,0.981341699885986,0.0186583001140137
0,5,1,0,0.989196692903719,0.0108033070962807
0,5,2,0,0.99659607783068,0.0034039221693196
0,5,3,0,0.990702903447884,0.00929709655211616
0,5,4,0,0.991268160154721,0.00873183984527894
0,5,5,0,0.987188858027563,0.0128111419724374
0,5,6,0,0.994009216589862,0.00599078341013825
0,5,7,0,0.989738423827272,0.0102615761727276
